SMILES String,Solubility ALOGPS,Drug Name,Drug Subcategory,Drug Subcategory Updated,
COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,0.00317,Amsacrine,others, Antineoplastic agents,
CN1C2=C(NC=N2)C(=O)N(C)C1=O,22.9,Theophylline,Methylxanthine,Methylxanthine,
C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C1=CC=CC2=C1NC[C@H](C)C2,0.221,Argatroban,Anti-coagulant,Anti-coagulant,
N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,0.0195,Liothyronine,others, Thyroid hormones,
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,0.0493,Disopyramide,others, Antiarrhythmic agents,
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,0.593,Lidocaine,Amide Local Anesthetic,Amide Local Anesthetic,
NCCC(O)(P(O)(O)=O)P(O)(O)=O,15.8,Pamidronate,others, Bisphosphonates,
CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,0.000405,Clemastine,others, Antihistamines,
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O,148,Acarbose,alpha-Glucosidase Inhibitor,alpha-Glucosidase Inhibitor,
COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,0.23,Venlafaxine,others, Antidepressants,
[Na+].[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OS([O-])(=O)=O)C=C3CC[C@@]21[H],0.0045,Conjugated Estrogens,Sulfonylurea,Sulfonylurea,
CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F,0.00759,Travoprost,Prostaglandin Analog,Prostaglandin Analog,
[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O,0.00774,Amcinonide,Corticosteroid,Corticosteroid,
CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,0.0039,Atomoxetine,others, Selective norepinephrine reuptake inhibitors (SNRIs),
C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CN=CN1)C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C,0.0282,Bleomycin,others, Antineoplastic agents,
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,0.0773,Chlorambucil,others, Antineoplastic agents,
CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,0.477,Etomidate,General Anesthetic,General Anesthetic,
CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,0.0181,Raltitrexed,others, Antineoplastic agents,
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],0.00737,Etonogestrel,Estrogen,Estrogen,
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,10.2,Morphine,others, Opioid analgesics,
CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,0.253,Ropivacaine,others, Local anesthetics,
CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,0.0977,Bupivacaine,others, Local anesthetics,
CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1,0.751,Dapiprazole,others, Alpha-adrenergic blocking agents,
NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2,7.45,Penciclovir,Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor,Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor,
C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(O)(O)=O,1.87,Tenofovir,others, Antiretroviral agents,
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(F)C=CC=C1Cl)C(O)=O,0.0545,Flucloxacillin,others, Penicillin antibiotics,
NC[C@H]1CC[C@@H](CC1)C(O)=O,18.2,Tranexamic Acid,others, Antifibrinolytic agents,
[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,0.286,Ertapenem,others, Carbapenem antibiotics,
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],0.00301,Desogestrel,others, Progestins,
CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,10.1,Mitomycin,Alkylating Drug,Alkylating Drug,
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,2.46,Talbutal,others, Barbiturate sedatives/hypnotics,
CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,0.000149,Bexarotene,Retinoid,Retinoid,
CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,0.00473,Ibutilide,others, Antiarrhythmic agents,
[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC,0.07,Vindesine,others, Antineoplastic agents,
NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,0.0528,Chlorthalidone,Thiazide-like Diuretic,Thiazide-like Diuretic,
CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O,0.688,Ethoxzolamide,others,Carbonic Anhydrase Inhibitor,
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.864,Pentobarbital,others,Barbiturate,
CCCC(CCC)C(O)=O,2.36,Valproic Acid,others,Antiepileptic,
CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12,0.19,Zolmitriptan,Serotonin-1b and Serotonin-1d Receptor Agonist,Serotonin-1b and Serotonin-1d Receptor Agonist,
CC(=O)NC1=CC=C(O)C=C1,4.15,Acetaminophen,others,Analgesic and Antipyretic,
COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,0.027,Gefitinib,Kinase Inhibitor,Kinase Inhibitor,
[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,0.577,Codeine,Barbiturate,Barbiturate,
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,0.119,Piperacillin,others,Antibiotic,
[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,0.229,Dihydroergotamine,others,Antimigraine Agent,
CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,0.0045,Amitriptyline,others,Tricyclic Antidepressant,
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O,40.8,Floxuridine,Antimetabolite,Antimetabolite,
CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,0.0569,Tolcapone,Catechol-O-Methyltransferase Inhibitor,Catechol-O-Methyltransferase Inhibitor,
[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,0.0166,Fluorometholone,Corticosteroid,Corticosteroid,
[Ca++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O,39.8,Calcium Gluceptate,others,Mineral Supplement,
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,4.39,Hydromorphone,others,Opioid Analgesic,
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,0.0024,Indomethacin,Nonsteroidal Anti-inflammatory Drug,Nonsteroidal Anti-inflammatory Drug,
CC[C@@H](CO)NCCN[C@@H](CC)CO,7.58,Ethambutol,others,Antitubercular Agent,
CN(C)C(=N)NC(N)=N,1.38,Metformin,others,Antidiabetic,
[Br-].[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N@+]2(C)C(C)C,0.000701,Ipratropium bromide,Muscle Relaxant,Muscle Relaxant,
CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,0.0059,Methadone,others,Opioid Analgesic and Antitussive,
CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,0.0942,Olanzapine,Atypical Antipsychotic,Atypical Antipsychotic,
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,0.429,Atenolol,beta-Adrenergic Blocker,beta-Adrenergic Blocker,
NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,0.268,Nitrofural,others,Antibiotic,
[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@@H](C)[C@@H](O)CC(=O)[C@H](CC)\C=C(C)/C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@H](Cl)[C@@H](C1)OC,0.00152,Pimecrolimus,Calcineurin Inhibitor Immunosuppressant,Calcineurin Inhibitor Immunosuppressant,
COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,0.359,Omeprazole,Proton Pump Inhibitor,Proton Pump Inhibitor,
NC(=O)C1=NC=CN=C1,93.7,Pyrazinamide,Antimycobacterial,Antimycobacterial,
CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1,0.000102,Metixene,others,Antipsychotic and Anticholinergic Agent,
OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,0.0658,Cetirizine,others,Antihistamine,
CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0.000458,Terfenadine,others,Antihistamine,
COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,0.0168,Diltiazem,others,Calcium Channel Blocker,
CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,0.000231,Protriptyline,others,Tricyclic Antidepressant,
NC1=CC=C(C=C1)C(=O)NCC(O)=O,3.13,Aminohippurate,others,Diagnostic Agent,
COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1,0.282,Alfuzosin,others,Alpha-1 Blocker,
CN1C(=O)OC(C)(C)C1=O,212,Trimethadione,others,Antiepileptic,
[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O,0.00811,Nitisinone,4-Hydroxyphenyl-Pyruvate Dioxygenase Inhibitor,4-Hydroxyphenyl-Pyruvate Dioxygenase Inhibitor,
CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O,0.164,Clobazam,Benzodiazepine,Benzodiazepine,
NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,19.9,Minoxidil,Arteriolar Vasodilator,Arteriolar Vasodilator,
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C,0.00338,Megestrol acetate,Non-Standardized Plant Allergenic Extract,Non-Standardized Plant Allergenic Extract,
NC1=NC(=S)C2=C(N1)N=CN2,0.834,Tioguanine,others,Antineoplastic Agent,
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,0.204,Methylergometrine,others,Uterine Stimulant,
CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=C1,0.000246,Buclizine,others,Antihistamine and Appetite Stimulant,
C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O,0.0429,Aztreonam,Monobactam Antibacterial,Monobactam Antibacterial,
ClC1=CC2=C(OC(=O)N2)C=C1,2.96,Chlorzoxazone,Muscle Relaxant,Muscle Relaxant,
CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,0.371,Aminoglutethimide,others,Antineoplastic Agent,
OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,0.038,Mefloquine,others,Antimalarial,
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,0.601,Sulfadiazine,Sulfonamide Antibacterial,Sulfonamide Antibacterial,
CC(O)C(O)C1CNC2=C(N1)C(=O)N=C(N)N2,2.21,Tetrahydrobiopterin,others,Cofactor for Tyrosine Hydroxylase,
[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@@]2(O)C(=O)OC)[C@@]13[H])[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC,0.0122,Vinorelbine,others,Antineoplastic Agent,
[H][C@@]12C[C@@H](O)CN1C(=O)[C@@]([H])(NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@]1([H])[C@@H](O)[C@@H](C)CN1C(=O)[C@@]([H])(NC(=O)[C@@]([H])(NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O,0.0564,Anidulafungin,others,Antifungal Agent,
CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,0.186,Clozapine,Atypical Antipsychotic,Atypical Antipsychotic,
O[Al](O)OS(=O)(=O)OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O,0.714,Sucralfate,Aluminum Complex,Aluminum Complex,
CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,0.632,Grepafloxacin,others,Antibiotic,
CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,0.541,Doxylamine,others,Antihistamine and Sedative,
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],0.00583,Levonorgestrel,Progestin,Progestin,
NC[C@H](O)C1=CC(O)=C(O)C=C1,12.5,Norepinephrine,others,Vasopressor and Sympathomimetic Agent,
NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,11.5,Cidofovir,others,Antiviral Agent,
CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1,1.1,Mirtazapine,others,Antidepressant,
CCCC(C)(COC(N)=O)COC(N)=O,2.47,Meprobamate,others,Anxiolytic and Muscle Relaxant,
CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,0.00487,Thiethylperazine,others,Antiemetic and Antipsychotic,
CC(C)(C)NCC(O)COC1=NSN=C1N1CCOCC1,0.269,Timolol,others,Beta Blocker,
[H][C@]12C[C@@H](O)[C@H](CC[C@@H](O)CCCCC)[C@@]1([H])CC1=C(C2)C(OCC(O)=O)=CC=C1,0.00731,Treprostinil,Prostacycline Vasodilator,Prostacycline Vasodilator,
OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1,0.00314,Trihexyphenidyl,others,Anticholinergic Agent,
[H][C@@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2,0.464,Palonosetron,others,Antiemetic,
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C,0.00486,Dydrogesterone,others,Progestin,
CC(N)COC1=C(C)C=CC=C1C,0.538,Mexiletine,others,Antiarrhythmic Agent,
C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,10.4,Dexrazoxane,others,Cardioprotective Agent,
CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,0.0074,Amlodipine,others,Calcium Channel Blocker,
NC1=C2CCCCC2=NC2=CC=CC=C12,0.136,Tacrine,others,Acetylcholinesterase Inhibitor,
CN1CCCN=C1COC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,0.0567,Oxyphencyclimine,others,Anticholinergic Agent,
NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,0.963,Triamterene,Thiazide Diuretic,Thiazide Diuretic,
CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C2=C(C1)C(O)=C1C(=O)C3=C(C(=O)C1=C2O)C(OC)=CC=C3,0.0325,Valrubicin,others,Antineoplastic Agent,
OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,0.00984,Procyclidine,others,Anticholinergic Agent,
CNC[C@H](O)C1=CC(O)=CC=C1,22,Phenylephrine,Amide Local Anesthetic,Amide Local Anesthetic,
CCOC(=O)N1C=CN(C)C1=S,3.14,Carbimazole,others,Antithyroid Agent,
[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,0.127,Digoxin,Cardiac Glycoside,Cardiac Glycoside,
CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,0.537,Sulpiride,others,Antipsychotic and Dopamine Antagonist,
CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12,0.00524,Ethopropazine,others,Antipsychotic and Anticholinergic Agent,
COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C,0.012,Nimodipine,Dihydropyridine Calcium Channel Blocker,Dihydropyridine Calcium Channel Blocker,
[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,0.00208,Beclomethasone,others,Corticosteroid,
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0.792,Carisoprodol,Muscle Relaxant,Muscle Relaxant,
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,0.00546,Progesterone,Estrogen,Estrogen,
C[C@@H](N)[C@@H](O)C1=CC=CC=C1,20.6,Phenylpropanolamine,others,Sympathomimetic and Appetite Suppressant,
CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,0.00171,Sorafenib,Kinase Inhibitor,Kinase Inhibitor,
OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O,3.27,Zoledronate,others,Bisphosphonate,
COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,0.0504,Griseofulvin,Tubulin Inhibiting Agent,Tubulin Inhibiting Agent,
COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,0.00577,Nisoldipine,Dihydropyridine Calcium Channel Blocker,Dihydropyridine Calcium Channel Blocker,
CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1,0.885,Eszopiclone,others,Hypnotic,
[H][C@](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,0.0116,Ceruletide,others,Cholecystokinin Analogue,
CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,0.0324,Alprazolam,Benzodiazepine,Benzodiazepine,
CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1,0.0127,Dexbrompheniramine,others,Antihistamine,
CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,0.00193,Gentian Violet,Angiotensin 2 Receptor Blocker,Angiotensin 2 Receptor Blocker,
CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2,0.103,Loxapine,others,Antipsychotic,
CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC,0.127,Remoxipride,others,Antipsychotic,
C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](C\C(C)=C\C(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O,0.0265,Mupirocin,RNA Synthetase Inhibitor Antibacterial,RNA Synthetase Inhibitor Antibacterial,
[Cl-].C[N+](C)(C)CCOC(N)=O,0.948,Carbachol,others,Cholinergic Agonist,
CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,0.038,Rosiglitazone,others,Antidiabetic,
CCCN[C@H]1CCC2=C(C1)SC(N)=N2,0.14,Pramipexole,others,Dopamine Agonist,
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,0.0483,Acetohexamide,others,Sulfonylurea Antidiabetic,
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,0.605,Ampicillin,others,Antibiotic,
[I-].[I-].[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3,0.000123,Metocurine Iodide,others,Neuromuscular blocking agent,
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COC1=CC=CC=C1)C(O)=O,0.454,Phenoxymethylpenicillin,others,Penicillin antibiotic,
CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,1.21,Secobarbital,others,Barbiturate sedative-hypnotic,
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,331,Miglustat,Glucosylceramide Synthase Inhibitor,Glucosylceramide Synthase Inhibitor,
CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12,0.0207,Promazine,others,Phenothiazine antipsychotic,
[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,0.00198,Spironolactone,Aldosterone Antagonist,Aldosterone Antagonist,
COC(=O)C(C1CCCCN1)C1=CC=CC=C1,0.182,Methylphenidate,others,CNS stimulant,
COC1=CC=CC=C1OCC(O)COC(N)=O,4.21,Methocarbamol,Muscle Relaxant,Muscle Relaxant,
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1,2.52,Hyoscyamine,others,Antimuscarinic/anticholinergic,
CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,0.0313,Zolpidem,others,Sedative-hypnotic,
CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,1.32,Famciclovir,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor,
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1,0.0537,Triprolidine,others,Antihistamine,
CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,33.5,Streptozocin,others,Antineoplastic agent,
OCC([NH3+])(CO)CO.CCCCC[C@@](O)(C)\C=C\[C@H]1[C@@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)[O-],0.0622,Carboprost Tromethamine,others,Prostaglandin analog,
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O,0.0668,Cefpiramide,others,Cephalosporin antibiotic,
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,0.00547,Lindane,others,Pediculicide/scabicide,
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F,6.69,Trifluridine,Nucleoside Analog Antiviral,Nucleoside Analog Antiviral,
CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,0.011,Prochlorperazine,others,Phenothiazine antiemetic,
CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,0.0136,Cyproheptadine,others,Antihistamine,
NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,0.214,Bendroflumethiazide,others,Thiazide diuretic,
O=C1N=CN=C2NNC=C12,5.88,Allopurinol,Xanthine Oxidase Inhibitor,Xanthine Oxidase Inhibitor,
[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1,0.00573,Ceftazidime,others,Cephalosporin antibiotic,
